comment,Sentiment Score
As a North Indian i must say that the people of South India is much responsible and United ,"{'neg': 0.0, 'neu': 0.611, 'pos': 0.389, 'compound': 0.6249}"
"You Missed 2 important issues why BJP lost ..
1) Hindi Imposition
2)Nandini vs Amul 
3)KAnnada Pride,Kannada Flag","{'neg': 0.228, 'neu': 0.558, 'pos': 0.213, 'compound': -0.0772}"
"Proud to be kannadaiga ️ 
ಸರ್ವ ಜನಂಗದ ಶಾಂತಿಯ ತೋಟ ","{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.4767}"
"As a Bengalurian, i feel BJP lost because, we dint need our politicians to teach us our own religion and how to follow it. Karnataka Government, is not a platform to preach about religion. We appreciate Modiji and his efforts and hardwork at the centre. But at Karnataka, or atleast at Bengaluru, i have not seen major development, rather the roads have become life threatening. Congresa was no better in the past. Congrees has won, becsuse BJP dint deliver overall development to Karnataka. ","{'neg': 0.113, 'neu': 0.775, 'pos': 0.111, 'compound': -0.0258}"
There is no place of hate in our beloved BHARAT 🇮🇳️..Jai hind 🇮🇳️,"{'neg': 0.264, 'neu': 0.5, 'pos': 0.236, 'compound': -0.1027}"
I'm am a Pakistani and seeing the power of democracy in India in awe. My salute to the democratic system of India. We Pakistanis should learn from India.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Karnataka is IT Hub of India. Don't disturb our cultural harmony by bringing relegious issue. We r proud kannadiga proud Indians.,"{'neg': 0.109, 'neu': 0.483, 'pos': 0.408, 'compound': 0.7351}"
We choose government not to teach us religion. We choose them for development of the nation. BJP failed to provide democratic governance. Karnataka has set the trend. I love my India and it’s unity in diversity ,"{'neg': 0.129, 'neu': 0.706, 'pos': 0.165, 'compound': 0.2263}"
This is power of educated people ️ proud of you Karnataka ,"{'neg': 0.0, 'neu': 0.563, 'pos': 0.437, 'compound': 0.4767}"
"State gov should always publish a list of achievement after a year. How many road, school, hospitals are build, how poverty and inequality is handled etc. 
This should be publicly available and be compared in media with the last years and last gov. Then people can decide which party does the best job.","{'neg': 0.091, 'neu': 0.718, 'pos': 0.191, 'compound': 0.5574}"
South Indian people showed us why they are most educated. Every other Indian needs to learn the lesson from them. Proud of you all ,"{'neg': 0.0, 'neu': 0.78, 'pos': 0.22, 'compound': 0.4767}"
In south some people are talking about religion only because of north people influence but now they are also understanding the agenda behind religion.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"THIS WAS NOT ONLY NECESSARY FOR CONGRESS
BUT IT WAS ALSO REALLY IMPORTANT FOR DEMOCRACY","{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.2716}"
"I always kept telling this, how much powerful a party can be 
. 
PEOPLE ARE THE ULTIMATE DECIDER.","{'neg': 0.0, 'neu': 0.56, 'pos': 0.44, 'compound': 0.6705}"
Congrats Karnataka people for voting against hate politics,"{'neg': 0.333, 'neu': 0.36, 'pos': 0.306, 'compound': -0.0772}"
"Rather than giving such small amounts of money to people, they could have laid out a plan for the total infrastructure development in Karnataka, including better waste management and recycling capabilities and trying to increase more usage of renewable sources by implementing more innovation to already created mechanisms, creating state government. Departments for that thus increasing job opportunities for people of the state ... thode thode paise de do.. ye kaisa solution hai?","{'neg': 0.045, 'neu': 0.644, 'pos': 0.311, 'compound': 0.926}"
"Even after the influence of 'The Kerala Story' BJP lose the election in karnataka. 
This shows the awareness of South people towards true indian development and not religion base stupid topics ","{'neg': 0.227, 'neu': 0.669, 'pos': 0.104, 'compound': -0.5106}"
Even as a hindutvavaadi peraon I support you guys ... Every narrative needs it's counter so it can reevaluate itself and evolve,"{'neg': 0.0, 'neu': 0.816, 'pos': 0.184, 'compound': 0.4019}"
"As a Tamilan I am very proud of my Kannada Brothers and Sisters

They outdone themselves closing the votebank of hate","{'neg': 0.268, 'neu': 0.507, 'pos': 0.225, 'compound': -0.1531}"
As a Tamilian.. I'm very proud of our kannadika relatives... I'm celebrating this moment ️,"{'neg': 0.0, 'neu': 0.541, 'pos': 0.459, 'compound': 0.7783}"
I'm really happy that my fellow kannadiga friends of every religion chose progress and democracy over religion and brainwashing. Thank You so much .,"{'neg': 0.1, 'neu': 0.402, 'pos': 0.498, 'compound': 0.8718}"
"That's why South Indian are more educated than every other states love from Northeast, Assam ","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.6369}"
"Proud of the entire South India to demonstrate that India is a secular country where we can live in peace and harmony inspite of differences. So the government need not really work on creating and resolving issues which do not bother people in the first place. Rather they should be talking and working on other major issues that are actually impacting the common citizens and are the real road blocks for our economy, GDP and development at a national as well as international level. Also hoping that the opposition parties have also learnt their lesson and will actually do something for the betterment of the people and the country as a whole. 🇮🇳","{'neg': 0.058, 'neu': 0.639, 'pos': 0.302, 'compound': 0.9512}"
I started my YouTube channel watching your videos sir and other creators. Your doing great job. Your not only a content creator but a great entrepreneur. Really got inspiration from u . I never miss your any videos. Thank you the deshbhakt.,"{'neg': 0.067, 'neu': 0.509, 'pos': 0.424, 'compound': 0.9045}"
This is not Congress win this is the win of democracy ,"{'neg': 0.0, 'neu': 0.208, 'pos': 0.792, 'compound': 0.8225}"
